areaType,areaName,areaCode,date,newDeaths28DaysByDeathDate,cumDeaths28DaysByDeathDate
overview,United Kingdom,K02000001,19/05/2022,72,178400
overview,United Kingdom,K02000001,18/05/2022,70,178328
overview,United Kingdom,K02000001,17/05/2022,94,178258
overview,United Kingdom,K02000001,16/05/2022,84,178164
overview,United Kingdom,K02000001,15/05/2022,89,178080
overview,United Kingdom,K02000001,14/05/2022,92,177991
overview,United Kingdom,K02000001,13/05/2022,95,177899
overview,United Kingdom,K02000001,12/05/2022,119,177804
overview,United Kingdom,K02000001,11/05/2022,108,177685
overview,United Kingdom,K02000001,10/05/2022,122,177577
overview,United Kingdom,K02000001,09/05/2022,114,177455
overview,United Kingdom,K02000001,08/05/2022,114,177341
overview,United Kingdom,K02000001,07/05/2022,136,177227
overview,United Kingdom,K02000001,06/05/2022,134,177091
overview,United Kingdom,K02000001,05/05/2022,141,176957
overview,United Kingdom,K02000001,04/05/2022,135,176816
overview,United Kingdom,K02000001,03/05/2022,143,176681
overview,United Kingdom,K02000001,02/05/2022,161,176538
overview,United Kingdom,K02000001,01/05/2022,178,176377
overview,United Kingdom,K02000001,30/04/2022,182,176199
overview,United Kingdom,K02000001,29/04/2022,183,176017
overview,United Kingdom,K02000001,28/04/2022,186,175834
overview,United Kingdom,K02000001,27/04/2022,192,175648
overview,United Kingdom,K02000001,26/04/2022,183,175456
overview,United Kingdom,K02000001,25/04/2022,189,175273
overview,United Kingdom,K02000001,24/04/2022,179,175084
overview,United Kingdom,K02000001,23/04/2022,207,174905
overview,United Kingdom,K02000001,22/04/2022,216,174698
overview,United Kingdom,K02000001,21/04/2022,208,174482
overview,United Kingdom,K02000001,20/04/2022,241,174274
overview,United Kingdom,K02000001,19/04/2022,206,174033
overview,United Kingdom,K02000001,18/04/2022,252,173827
overview,United Kingdom,K02000001,17/04/2022,258,173575
overview,United Kingdom,K02000001,16/04/2022,257,173317
overview,United Kingdom,K02000001,15/04/2022,250,173060
overview,United Kingdom,K02000001,14/04/2022,271,172810
overview,United Kingdom,K02000001,13/04/2022,295,172539
overview,United Kingdom,K02000001,12/04/2022,279,172244
overview,United Kingdom,K02000001,11/04/2022,261,171965
overview,United Kingdom,K02000001,10/04/2022,284,171704
overview,United Kingdom,K02000001,09/04/2022,265,171420
overview,United Kingdom,K02000001,08/04/2022,301,171155
overview,United Kingdom,K02000001,07/04/2022,289,170854
overview,United Kingdom,K02000001,06/04/2022,274,170565
overview,United Kingdom,K02000001,05/04/2022,269,170291
overview,United Kingdom,K02000001,04/04/2022,251,170022
overview,United Kingdom,K02000001,03/04/2022,266,169771
overview,United Kingdom,K02000001,02/04/2022,282,169505
overview,United Kingdom,K02000001,01/04/2022,256,169223
overview,United Kingdom,K02000001,31/03/2022,259,168967
overview,United Kingdom,K02000001,30/03/2022,243,168708
overview,United Kingdom,K02000001,29/03/2022,246,168465
