Year,Yearly summer days UK
1960,2.69513
1961,3.69896
1962,0.07928
1963,1.79658
1964,2.26153
1965,0.45578
1966,1.2968
1967,1.74359
1968,1.59825
1969,4.79372
1970,5.69384
1971,2.51515
1972,1.01781
1973,4.87786
1974,0.23031
1975,12.16306
1976,20.23887
1977,3.17249
1978,1.59968
1979,1.80814
1980,1.62198
1981,2.57751
1982,6.03235
1983,12.62991
1984,7.69087
1985,1.84346
1986,4.08699
1987,2.83114
1988,1.45643
1989,13.63664
1990,10.90184
1991,4.78785
1992,3.92789
1993,1.22724
1994,5.60363
1995,21.03421
1996,6.31657
1997,8.65282
1998,2.66732
1999,8.47662
2000,3.49624
2001,6.23771
2002,3.07131
2003,12.74583
2004,5.56042
2005,8.51874
2006,15.66879
2007,1.08559
2008,3.32288
2009,4.45306
2010,5.36903
2011,4.73704
2012,4.50866
2013,10.35185
2014,5.55345
2015,3.447
2016,5.94194
2017,6.23532
2018,17.05534
2019,7.44516
2020,8.96978
2021,7.99163
