regions,Year,Month,Deaths,Date,,,,,,,,
North East,2006,1,2570,2006-1,,,,,,,,
North East,2006,2,2194,2006-2,,,,,,,,
North East,2006,3,2517,2006-3,,,,,,,,
North East,2006,4,2221,2006-4,,,,,,,,
North East,2006,5,2381,2006-5,,,,,,,,
North East,2006,6,2136,2006-6,,,,,North East,2006,1,2570
North East,2006,7,2030,2006-7,,,,,North West,2006,1,6797
North East,2006,8,2078,2006-8,,,,,Yorkshire and the Humber,2006,1,4789
North East,2006,9,1929,2006-9,,,,,East Midlands,2006,1,3977
North East,2006,10,2218,2006-10,,,,,Wales,2006,1,2997
North East,2006,11,2268,2006-11,,,,,,,,
North East,2006,12,2328,2006-12,,,,,,,,
North West,2006,1,6797,2006-1,,,,,,,,
North West,2006,2,5832,2006-2,,,,,,,,
North West,2006,3,6628,2006-3,,,,,,,,
North West,2006,4,5756,2006-4,,,,,,,,
North West,2006,5,6013,2006-5,,,,,,,,
North West,2006,6,5662,2006-6,,,,,,,,
North West,2006,7,5450,2006-7,,,,,,,,
North West,2006,8,5445,2006-8,,,,,,,,
North West,2006,9,5223,2006-9,,,,,,,,
North West,2006,10,5674,2006-10,,,,,,,,
North West,2006,11,5780,2006-11,,,,,,,,
North West,2006,12,5566,2006-12,,,,,,,,
Yorkshire and the Humber,2006,1,4789,2006-1,,,,,,,,
Yorkshire and the Humber,2006,2,4081,2006-2,,,,,,,,
Yorkshire and the Humber,2006,3,4636,2006-3,,,,,,,,
Yorkshire and the Humber,2006,4,3986,2006-4,,,,,,,,
Yorkshire and the Humber,2006,5,4193,2006-5,,,,,,,,
Yorkshire and the Humber,2006,6,4010,2006-6,,,,,,,,
Yorkshire and the Humber,2006,7,3792,2006-7,,,,,,,,
Yorkshire and the Humber,2006,8,3905,2006-8,,,,,,,,
Yorkshire and the Humber,2006,9,3660,2006-9,,,,,,,,
Yorkshire and the Humber,2006,10,4068,2006-10,,,,,,,,
Yorkshire and the Humber,2006,11,4235,2006-11,,,,,,,,
Yorkshire and the Humber,2006,12,4046,2006-12,,,,,,,,
East Midlands,2006,1,3977,2006-1,,,,,,,,
East Midlands,2006,2,3559,2006-2,,,,,,,,
East Midlands,2006,3,4036,2006-3,,,,,,,,
East Midlands,2006,4,3460,2006-4,,,,,,,,
East Midlands,2006,5,3444,2006-5,,,,,,,,
East Midlands,2006,6,3379,2006-6,,,,,,,,
East Midlands,2006,7,3313,2006-7,,,,,,,,
East Midlands,2006,8,3280,2006-8,,,,,,,,
East Midlands,2006,9,2947,2006-9,,,,,,,,
East Midlands,2006,10,3409,2006-10,,,,,,,,
East Midlands,2006,11,3593,2006-11,,,,,,,,
East Midlands,2006,12,3411,2006-12,,,,,,,,
Wales,2006,1,2997,2006-1,,,,,,,,
Wales,2006,2,2686,2006-2,,,,,,,,
Wales,2006,3,3014,2006-3,,,,,,,,
Wales,2006,4,2524,2006-4,,,,,,,,
